job,method,seed,nodes,partition,scenario,topology,period,epochs,dataset,use_cycle,event_threshold,hidden,stride,protocol_id,split,policy,accuracy,precision,recall,f1,average_precision,roc_auc,fpr,bytes_total,training_wall_s,modeled_parallel_s
FD001_centralized_s33_n10_20588d14651b,centralized,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.967741935483871,1.0,0.88,0.9361702127659575,1.0000000000000002,1.0,0.0,0,172.63735476699958,172.47636714700002
FD001_centralized_s33_n10_20588d14651b,centralized,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.989247311827957,1.0,0.96,0.9795918367346939,1.0000000000000002,1.0,0.0,0,172.63735476699958,172.47636714700002
FD001_centralized_s33_n10_20588d14651b,centralized,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,0.0,0,172.63735476699958,172.47636714700002
FD001_centralized_s44_n10_a4961008915b,centralized,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.987038158691702,0.7819548872180451,0.9397590361445783,0.853625170998632,0.9653063472947572,0.9981736867956491,0.010980689132904203,0,192.7986641189991,192.64218118799636
FD001_centralized_s44_n10_a4961008915b,centralized,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9913991520290732,0.8942598187311178,0.891566265060241,0.8929110105580694,0.9653063472947572,0.9981736867956491,0.004417518616685599,0,192.7986641189991,192.64218118799636
FD001_centralized_s44_n10_a4961008915b,centralized,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9911568746214415,0.8865671641791045,0.8945783132530121,0.8905547226386806,0.9653063472947572,0.9981736867956491,0.004796163069544364,0,192.7986641189991,192.64218118799636
FD001_centralized_s44_n10_a4961008915b,centralized,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.946236559139785,0.8846153846153846,0.92,0.9019607843137255,0.9912698412698414,0.9964705882352942,0.04411764705882353,0,192.7986641189991,192.64218118799636
FD001_centralized_s44_n10_a4961008915b,centralized,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.978494623655914,1.0,0.92,0.9583333333333334,0.9912698412698414,0.9964705882352942,0.0,0,192.7986641189991,192.64218118799636
FD001_centralized_s44_n10_a4961008915b,centralized,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.978494623655914,1.0,0.92,0.9583333333333334,0.9912698412698414,0.9964705882352942,0.0,0,192.7986641189991,192.64218118799636
FD001_centralized_s55_n10_1a027f83654d,centralized,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.987886129618413,0.8841059602649006,0.8042168674698795,0.8422712933753943,0.9226679516277617,0.9954543657401284,0.004417518616685599,0,197.19123528600358,197.0244692100041
