dataset,nodes,partition,scenario,topology,period,epochs,use_cycle,event_threshold,hidden,stride,protocol_id,split,policy,method,runs,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,precision_mean,precision_sd,precision_ci_low,precision_ci_high,recall_mean,recall_sd,recall_ci_low,recall_ci_high,f1_mean,f1_sd,f1_ci_low,f1_ci_high,average_precision_mean,average_precision_sd,average_precision_ci_low,average_precision_ci_high,bytes_total_mean,bytes_total_sd,bytes_total_ci_low,bytes_total_ci_high,training_wall_s_mean,training_wall_s_sd,training_wall_s_ci_low,training_wall_s_ci_high,modeled_parallel_s_mean,modeled_parallel_s_sd,modeled_parallel_s_ci_low,modeled_parallel_s_ci_high
FD001,5,iid,none,ring,1,50,True,0.02,"[100, 50]",1,ab89e2e3e236,test_all,fixed,fedavg,3,0.9883706844336766,0.0013758711921987078,0.9849528309186248,0.9917885379487283,0.9309490727674973,0.06856098575393983,0.7606341425013582,1.1012640030336365,0.7740963855421686,0.05578391318509682,0.6355214630900632,0.9126713079942741,0.8425096429742545,0.017494922677507616,0.7990498457869017,0.8859694401616072,0.9456005364873515,0.011739814113401938,0.9164372215193111,0.974763851455392,161302000.0,0.0,161302000.0,161302000.0,194.80767032466005,2.6553918907860568,188.21131118928238,201.40402946003772,174.14061577699795,1.8796102220376467,169.47140514104282,178.80982641295307
FD001,5,iid,none,ring,1,50,True,0.02,"[100, 50]",1,ab89e2e3e236,test_all,fixed,gossip,3,0.9870785382596406,0.0005043406419057906,0.9858256866515142,0.9883313898677671,0.9452705987981028,0.0539258285551928,0.8113114144467656,1.0792297831494402,0.7248995983935743,0.06153234315680546,0.5720447842653915,0.8777544125217571,0.8178668215253581,0.017528931233590915,0.7743225424013166,0.8614111006493995,0.9413382428024449,0.01271306927871121,0.9097572279751038,0.972919257629786,161302000.0,0.0,161302000.0,161302000.0,193.39082650399482,4.0223236350119045,183.39882067339707,203.38283233459256,70.56347041433331,1.933716379649132,65.75985263181758,75.36708819684904
FD001,5,iid,none,ring,1,50,True,0.02,"[100, 50]",1,ab89e2e3e236,test_all,val_f1,fedavg,3,0.9878053704825357,0.0024358620846930213,0.981754353617327,0.9938563873477444,0.8458577307466196,0.05828057219622233,0.701080763491596,0.9906346980016433,0.857429718875502,0.024346095688719132,0.7969506644412727,0.9179087733097313,0.8503817163539725,0.023089355776411576,0.7930245769297682,0.9077388557781768,0.9456005364873515,0.011739814113401938,0.9164372215193111,0.974763851455392,161302000.0,0.0,161302000.0,161302000.0,194.80767032466005,2.6553918907860568,188.21131118928238,201.40402946003772,174.14061577699795,1.8796102220376467,169.47140514104282,178.80982641295307
FD001,5,iid,none,ring,1,50,True,0.02,"[100, 50]",1,ab89e2e3e236,test_all,val_f1,gossip,3,0.9877649909145972,0.0014282042547004079,0.9842171348654137,0.9913128469637807,0.880560616932554,0.08559008398443924,0.6679430615549306,1.0931781723101774,0.8192771084337349,0.08087784085600934,0.6183654139183805,1.0201888029490893,0.843399652640621,0.00995315867595229,0.8186746358226529,0.8681246694585891,0.9413382428024449,0.01271306927871121,0.9097572279751038,0.972919257629786,161302000.0,0.0,161302000.0,161302000.0,193.39082650399482,4.0223236350119045,183.39882067339707,203.38283233459256,70.56347041433331,1.933716379649132,65.75985263181758,75.36708819684904
FD001,5,iid,none,ring,1,50,True,0.02,"[100, 50]",1,ab89e2e3e236,test_all,val_fpr02,fedavg,3,0.9874419543710883,0.0024835896328983262,0.9812723757034933,0.9936115330386832,0.8264526153453694,0.056142028721484896,0.6869880845841586,0.9659171461065802,0.8755020080321284,0.012540156623289925,0.8443505320529582,0.9066534840112986,0.8493207828932103,0.023723569725470364,0.790388168680831,0.9082533971055897,0.9456005364873515,0.011739814113401938,0.9164372215193111,0.974763851455392,161302000.0,0.0,161302000.0,161302000.0,194.80767032466005,2.6553918907860568,188.21131118928238,201.40402946003772,174.14061577699795,1.8796102220376467,169.47140514104282,178.80982641295307
FD001,5,iid,none,ring,1,50,True,0.02,"[100, 50]",1,ab89e2e3e236,test_all,val_fpr02,gossip,3,0.9881687865939833,0.0002521703209529265,0.98754236078992,0.9887952123980467,0.8678957838639056,0.04709227796784537,0.7509120802317517,0.9848794874960596,0.8373493975903615,0.055211755360913745,0.7001957939663822,0.9745030012143409,0.8503096686157828,0.0076692377589784085,0.831258225878325,0.8693611113532407,0.9413382428024449,0.01271306927871121,0.9097572279751038,0.972919257629786,161302000.0,0.0,161302000.0,161302000.0,193.39082650399482,4.0223236350119045,183.39882067339707,203.38283233459256,70.56347041433331,1.933716379649132,65.75985263181758,75.36708819684904
FD001,5,iid,none,ring,1,50,True,0.02,"[100, 50]",1,ab89e2e3e236,test_terminal,fixed,fedavg,3,0.967741935483871,0.010752688172043001,0.9410307772930072,0.9944530936747348,0.9721739130434782,0.024160772155564877,0.9121552277868322,1.0321925983001243,0.9066666666666666,0.046188021535170036,0.7919292605400143,1.021404072793319,0.937612293144208,0.021702629824688204,0.8836999719525426,0.9915246143358735,0.9915942319623481,0.005077394826804726,0.9789812839956364,1.0042071799290597,161302000.0,0.0,161302000.0,161302000.0,194.80767032466005,2.6553918907860568,188.21131118928238,201.40402946003772,174.14061577699795,1.8796102220376467,169.47140514104282,178.80982641295307
FD001,5,iid,none,ring,1,50,True,0.02,"[100, 50]",1,ab89e2e3e236,test_terminal,fixed,gossip,3,0.949820788530466,0.01241613482128233,0.9189773997867422,0.9806641772741899,0.9696342305037957,0.026378902489463632,0.9041054040351344,1.035163056972457,0.84,0.03999999999999998,0.7406344915299868,0.9393655084700131,0.8997584541062801,0.02621079035532693,0.8346472413298306,0.9648696668827296,0.9886634478281131,0.008745164433453405,0.9669392550635137,1.0103876405927124,161302000.0,0.0,161302000.0,161302000.0,193.39082650399482,4.0223236350119045,183.39882067339707,203.38283233459256,70.56347041433331,1.933716379649132,65.75985263181758,75.36708819684904
FD001,5,iid,none,ring,1,50,True,0.02,"[100, 50]",1,ab89e2e3e236,test_terminal,val_f1,fedavg,3,0.971326164874552,0.016425002490881132,0.9305241967713611,1.012128132977743,0.9373219373219372,0.056908787337430725,0.7959526725670459,1.0786912020768287,0.96,0.0,0.96,0.96,0.947948410133284,0.02885962994110747,0.8762571150494199,1.019639705217148,0.9915942319623481,0.005077394826804726,0.9789812839956364,1.0042071799290597,161302000.0,0.0,161302000.0,161302000.0,194.80767032466005,2.6553918907860568,188.21131118928238,201.40402946003772,174.14061577699795,1.8796102220376467,169.47140514104282,178.80982641295307
FD001,5,iid,none,ring,1,50,True,0.02,"[100, 50]",1,ab89e2e3e236,test_terminal,val_f1,gossip,3,0.960573476702509,0.016425002490881132,0.9197715085993181,1.0013754448057,0.9344781144781145,0.039575511795779776,0.8361670931643979,1.032789135791831,0.9199999999999999,0.06928203230275509,0.7478938908100214,1.0921061091899784,0.9255646481178396,0.03326133713423722,0.8429389061994392,1.00819039003624,0.9886634478281131,0.008745164433453405,0.9669392550635137,1.0103876405927124,161302000.0,0.0,161302000.0,161302000.0,193.39082650399482,4.0223236350119045,183.39882067339707,203.38283233459256,70.56347041433331,1.933716379649132,65.75985263181758,75.36708819684904
