epoch,train_loss,val_loss,val_accuracy,val_f1,parameter_rms,parameter_relative,probe_disagreement,mix_change_l2,bytes_attempted,messages,bytes_delivered,model_bytes,control_bytes,training_wall_s,local_compute_sum_s,local_compute_max_s,mix_cpu_s,modeled_network_s,samples_processed,applied_edges,active_nodes,slem
1,0.25521264233749646,,,,6.079374781364777e-09,7.661934375846613e-08,,0.0,0,0,0,0,0,18.06128942593932,18.05612155608833,18.05612155608833,0.001428299117833376,0.0,16031,0,10,1.0
2,0.09273284318962105,,,,5.998450625099849e-09,7.462822537718239e-08,,0.0,0,0,0,0,0,13.109228166984394,13.103141190018505,13.103141190018505,0.001466801855713129,0.0,16031,0,10,1.0
3,0.07419571286846655,,,,6.205546299042908e-09,7.645740396355905e-08,,0.0,0,0,0,0,0,12.724830638850108,12.719897047849372,12.719897047849372,0.0013351459056138992,0.0,16031,0,10,1.0
4,0.06540494052165512,,,,6.332999458180666e-09,7.730722728638284e-08,,0.0,0,0,0,0,0,13.146763612050563,13.142067849868909,13.142067849868909,0.0012619427870959044,0.0,16031,0,10,1.0
5,0.06411784830845405,0.083002961921123,0.961731327527052,0.890895410082769,6.285890918888981e-09,7.606795549008893e-08,0.0,0.0,0,0,0,0,0,12.638311506947502,12.633841794915497,12.633841794915497,0.0012145938817411661,0.0,16031,0,10,1.0
6,0.05383747368800009,,,,6.203777047630865e-09,7.421142811381287e-08,,0.0,0,0,0,0,0,13.107752281008288,13.101636259816587,13.101636259816587,0.0015532728284597397,0.0,16031,0,10,1.0
7,0.05114161916921607,,,,6.3633240898752774e-09,7.522816503069407e-08,,0.0,0,0,0,0,0,13.201336584053934,13.195233297068626,13.195233297068626,0.0014402000233530998,0.0,16031,0,10,1.0
8,0.053358625996595056,,,,6.493928061956922e-09,7.597991924512826e-08,,0.0,0,0,0,0,0,13.86664181179367,13.860730285057798,13.860730285057798,0.0013955519534647465,0.0,16031,0,10,1.0
9,0.0508081145948491,,,,6.42803366091016e-09,7.464346651886444e-08,,0.0,0,0,0,0,0,12.796921791043133,12.791935983812436,12.791935983812436,0.0013373258989304304,0.0,16031,0,10,1.0
10,0.044766202621293466,0.07044257511849446,0.971232515175508,0.9130087789305666,6.502398619545602e-09,7.449159511452308e-08,0.0,0.0,0,0,0,0,0,12.914405592018738,12.90991116501391,12.90991116501391,0.0012413470540195704,0.0,16031,0,10,1.0
11,0.0435688261236194,,,,6.620570314197494e-09,7.495940934632017e-08,,0.0,0,0,0,0,0,12.895590936066583,12.891080501955003,12.891080501955003,0.0012588410172611475,0.0,16031,0,10,1.0
12,0.045936482788799825,,,,6.602534963207063e-09,7.390973877363649e-08,,0.0,0,0,0,0,0,12.770561998942867,12.766102080931887,12.766102080931887,0.0012171489652246237,0.0,16031,0,10,1.0
13,0.04227372232543848,,,,6.657237872076394e-09,7.379680511121478e-08,,0.0,0,0,0,0,0,12.96288581006229,12.958352813031524,12.958352813031524,0.001262919045984745,0.0,16031,0,10,1.0
14,0.04423072365771459,,,,6.7409753334857214e-09,7.405953539318944e-08,,0.0,0,0,0,0,0,12.880545528139919,12.875961663899943,12.875961663899943,0.001274608075618744,0.0,16031,0,10,1.0
15,0.04536421485647246,0.10215944253615486,0.956980733702824,0.8538116591928251,6.853966727504712e-09,7.468641172181378e-08,0.0,0.0,0,0,0,0,0,12.68804710288532,12.683384558884427,12.683384558884427,0.0013293931260704994,0.0,16031,0,10,1.0
16,0.04292850586528244,,,,6.95209845247291e-09,7.481899189087926e-08,,0.0,0,0,0,0,0,12.809751067077741,12.80520495492965,12.80520495492965,0.0012520039454102516,0.0,16031,0,10,1.0
17,0.040173032646658904,,,,6.843968947123358e-09,7.286964631703086e-08,,0.0,0,0,0,0,0,13.003801932092756,12.998870217008516,12.998870217008516,0.00132721196860075,0.0,16031,0,10,1.0
18,0.04034370935335128,,,,6.993869039462197e-09,7.387581035800395e-08,,0.0,0,0,0,0,0,12.88392311311327,12.879238503985107,12.879238503985107,0.0012874540407210588,0.0,16031,0,10,1.0
19,0.04121816372131128,,,,7.226501619328474e-09,7.560967674180574e-08,,0.0,0,0,0,0,0,12.929065071977675,12.92443702602759,12.92443702602759,0.001274558948352933,0.0,16031,0,10,1.0
20,0.04164607059479664,0.05995235465477752,0.9741356558458696,0.9216,7.109548061379201e-09,7.36851575311448e-08,0.0,0.0,0,0,0,0,0,12.840790245914832,12.835195722989738,12.835195722989738,0.0013075489550828934,0.0,16031,0,10,1.0
21,0.03695853414027576,,,,7.226713893970782e-09,7.423480496981938e-08,,0.0,0,0,0,0,0,13.090992741053924,13.086073386017233,13.086073386017233,0.0014294639695435762,0.0,16031,0,10,1.0
22,0.03908434166761158,,,,7.36465288753152e-09,7.488739584005089e-08,,0.0,0,0,0,0,0,12.96683781594038,12.96109307790175,12.96109307790175,0.0013269679620862007,0.0,16031,0,10,1.0
23,0.03621611068682055,,,,7.394916234915172e-09,7.429076021026049e-08,,0.0,0,0,0,0,0,13.076923480024561,13.072142793098465,13.072142793098465,0.0012964541092514992,0.0,16031,0,10,1.0
24,0.035953321098548964,,,,7.477803265487637e-09,7.447724925668808e-08,,0.0,0,0,0,0,0,12.880143143935129,12.875487915007398,12.875487915007398,0.0013390830717980862,0.0,16031,0,10,1.0
25,0.03634782597345566,0.07938532805006467,0.9699129057798892,0.9128440366972477,7.519415312629008e-09,7.43053050200615e-08,0.0,0.0,0,0,0,0,0,12.863741329871118,12.858846571994945,12.858846571994945,0.0013231032062321901,0.0,16031,0,10,1.0
26,0.038113891705196724,,,,7.46813899610288e-09,7.311713545732346e-08,,0.0,0,0,0,0,0,12.490938143106177,12.48579865717329,12.48579865717329,0.0013917589094489813,0.0,16031,0,10,1.0
27,0.03455925589780222,,,,7.626073106337117e-09,7.404425161894324e-08,,0.0,0,0,0,0,0,12.351861738832667,12.34690966294147,12.34690966294147,0.0013302320148795843,0.0,16031,0,10,1.0
28,0.033508565928325136,,,,7.542519497860667e-09,7.259261991521271e-08,,0.0,0,0,0,0,0,12.330056495033205,12.325600280892104,12.325600280892104,0.0012219210620969534,0.0,16031,0,10,1.0
