epoch,split,node,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,balanced_accuracy,n,positive,threshold,roc_auc,average_precision,brier,log_loss
5,train,0,3085,111,362,258,0.8760482180293501,0.6991869918699187,0.4161290322580645,0.5217391304347826,0.034730913642052566,0.690699059308006,3816,620,0.5,0.8963886309499777,0.6528237942919913,0.09273310216053035,0.2905863031741634
5,train,1,3210,78,398,222,0.8781985670419652,0.74,0.3580645161290323,0.4826086956521739,0.023722627737226276,0.667170944195903,3908,620,0.5,0.9022977003374931,0.64721789541309,0.08812559146427992,0.27896404305461203
5,train,2,3512,306,367,253,0.8483551149166291,0.4525939177101968,0.4080645161290323,0.42917726887192537,0.08014667365112624,0.663958921238953,4438,620,0.5,0.8547799895233106,0.5113061265238903,0.10043623325062001,0.30920841019037226
5,train,3,2870,13,453,167,0.8669711675706537,0.9277777777777778,0.2693548387096774,0.4175,0.004509191814082553,0.6324228234477974,3503,620,0.5,0.8917905855235921,0.6638695856453166,0.10335856780616637,0.3266485259580668
5,train,4,3001,55,397,223,0.8770402611534276,0.802158273381295,0.3596774193548387,0.49665924276169265,0.01799738219895288,0.670840018577943,3676,620,0.5,0.9146639081236277,0.6673936140834235,0.08730639900484807,0.2790458306282422
5,train,5,3431,314,405,215,0.8352806414662085,0.4064272211720227,0.3467741935483871,0.3742384682332463,0.08384512683578105,0.631464533356303,4365,620,0.5,0.8500671863560015,0.45745618695056384,0.10194609530759434,0.31978298732706845
5,train,6,3063,154,364,256,0.8649986968986187,0.624390243902439,0.4129032258064516,0.4970873786407767,0.04787068697544296,0.6825162694155044,3837,620,0.5,0.8427998435729542,0.5626371062158981,0.10662287683233183,0.34641619891177944
5,train,7,2890,0,604,16,0.8279202279202279,1.0,0.025806451612903226,0.050314465408805034,0.0,0.5129032258064516,3510,620,0.5,0.8743699073557318,0.6095211275350505,0.1091741379963928,0.3458220632763366
5,train,8,3457,175,512,108,0.8384289746001882,0.38162544169611307,0.17419354838709677,0.23920265780730898,0.04818281938325991,0.5630053645019184,4252,620,0.5,0.8342879600682108,0.4189218537473229,0.1019479687215806,0.32558023046079543
5,train,9,3358,80,409,180,0.8785696548298982,0.6923076923076923,0.30560271646859083,0.42402826855123676,0.02326934264107039,0.6411666869137602,4027,589,0.5,0.8975788426761324,0.5960451066566211,0.08729832220268238,0.2836945100023774
5,validation,0,809,23,72,83,0.9037487335359676,0.7830188679245284,0.535483870967742,0.6360153256704981,0.027644230769230768,0.7539198200992556,987,155,0.5,0.9524891439205956,0.7580469586897712,0.0697723382228468,0.22459209699400687
5,validation,1,682,0,139,16,0.8339307048984468,1.0,0.1032258064516129,0.1871345029239766,0.0,0.5516129032258065,837,155,0.5,0.9540913820830575,0.8565008506724078,0.09272263401576679,0.27955014677720197
5,validation,2,891,12,67,88,0.9253308128544423,0.88,0.567741935483871,0.6901960784313725,0.013289036544850499,0.7772264494695102,1058,155,0.5,0.9662487050334012,0.8114524246224988,0.0614569457562203,0.2028457613864432
5,validation,3,593,0,131,24,0.8248663101604278,1.0,0.15483870967741936,0.2681564245810056,0.0,0.5774193548387097,748,155,0.5,0.8767448185823858,0.670295804608078,0.1365829816163209,0.4370523919053815
